"Thumb";"Name";"SKU";"Seller";"Revenue";"Lost profit";"Sales";"Balance";"Turnover days";"Frozen stocks percent";"Base price";"Basic Sale";"Basic Sale Price";"Price with WB wallet";"Comments Valuation";"Latest rating avg";"Comments";"Days in website";"Search cpm avg"
"https://basket-15.wbbasket.ru/vol2395/part239575/239575563/images/c246x328/1.webp";"Крем для лица dual barrier skin wearable cream";239575563;"ИП Балиев А Г";0;"0";0;0;0;"0";1900;35;1231;1206;"5";"5";2;220;0
"https://basket-16.wbbasket.ru/vol2478/part247866/247866213/images/c246x328/1.webp";"Увлажняющий кремовый тонер с молочной текстурой, 150 мл";247866213;"Baizak";0;"0";0;0;0;"0";2599;64;935;916;"3,7";"1";7;182;0
"https://basket-14.wbbasket.ru/vol2068/part206865/206865153/images/c246x328/1.webp";"Увлажняющий тройной набор для ухода за кожей лица";206865153;"Риска";0;"0";0;0;0;"0";5800;16;4872;4774;"4,3";"1";11;363;0
"https://basket-19.wbbasket.ru/vol3205/part320571/320571183/images/c246x328/1.webp";"Сelimax the vita-a retinal shot tightening booster";320571183;"Umay";0;"0";0;0;0;"0";3266;15;2765;2709;"0";"0";0;2;0
"https://basket-17.wbbasket.ru/vol2702/part270257/270257433/images/c246x328/1.webp";"Успокаивающий крем The Real Cica Soothing Cream";270257433;"ИП Дженетов З Б";0;"0";0;0;0;"0";1400;25;1046;1025;"0";"0";0;106;0
"https://basket-17.wbbasket.ru/vol2805/part280546/280546323/images/c246x328/1.webp";"Сужающая поры глиняная маска для лица на основе нони";280546323;"Адухов Хабибула Магомедович";0;"0";0;0;0;"0";1300;23;993;973;"0";"0";0;80;0
"https://basket-18.wbbasket.ru/vol3021/part302182/302182443/images/c246x328/1.webp";"Крем для лица антивозрастной";302182443;"Home Market";0;"0";0;0;0;"0";1800;33;1192;1168;"5";"0";1;46;0
"https://basket-17.wbbasket.ru/vol2645/part264567/264567333/images/c246x328/1.webp";"Успокаивающая сыворотка для чувствительной кожи";264567333;"Magishop";0;"0";0;0;0;"0";2730;41;1605;1572;"0";"0";0;124;0
"https://basket-16.wbbasket.ru/vol2513/part251333/251333763/images/c246x328/1.webp";"Успокаивающий набор с нони тонер + сыворотка для лица";251333763;"ИП Ильясова П М";0;"0";0;0;0;"0";4400;25;3289;3223;"0";"0";0;172;0
"https://basket-18.wbbasket.ru/vol2984/part298414/298414653/images/c246x328/1.webp";"Крем против жирного блеска Oil Control Moisturizing Cream";298414653;"ИП Куртымов Д С";0;"0";0;0;0;"0";2350;42;1353;1325;"5";"0";10;49;0
